Nombre ,Calle ,Teléfono ,Contacto,Correo
INDUSTRIAS DMU S.A DE C.V.,JOSE BARBA ALONSO 105 CD. INDUSTRIAL AGUASCALIENTES 20290,9712587,Refugio Rangel ,rrangel@ind-dmu.com
J&R MAQUINADOS INDUSTRIALES S.A. DE C.V.,HEROE DE NACOZARI NTE 2905 INT. 3 LAS HADAS AGUASCALIENTES C.P 20400,912 11 85,,
"MAQUINADOS Y SERVICIOS ESPECIALIZADOS, S.A. DE C.V.",AV. SIGLO XIX 109 LOMAS DE SANTA ANITA AGUASCALIENTES C.P 20164,9755502,,
KUROTA MEXICO S.A. DE C.V.,CIRCUITO CEREZO SUR 108 PARQUE INDUSTRIAL SAN FCO. IV AGUASCALIENTES ,478-31-03,Esmeralda Montes ,compras1@kurota-mx.com
Gestamp Aguascalientes S.A. de C.V.,AVDA. DE JAPON 124 PARQUE INDUSTRIAL SAN FRANCISCO C.P 20304,449 910 9140 Ext. 19168,Edgar Duron,
COMPANIA ALIMENTICIA RIVERA ROMO SA DE CV,Av. Independencia 502 Fracc. El sol Aguascalientes ,9 15 55 45. Ext. 108,,calidad.ags@galletasvanessa.com.mxoffice@bccbi.bg
IMPULSORA DE HERRAMIENTAS DEL CENTRO S. de R.L de C.V.,Altena 105 Ejido Cumbres Aguascalientes C.P 20175,01 449 9725314,Roberto Diaz,ihc.ags@hotmail.com
TST NIKKEI METALES S. DE RL. DE CV.,CARRETERA LOS ARELLANOS P4 ARELLANO AGUASCALIENTES C.P 20340, 449 929 5517,Miguel Reyes ,mreyes@tstnikkei.com
PARKER-TRUTEC MEXICANA S.A. DE C.V,CAROLINA VILLANUEVA 408 CD. INDUSTRIAL AGUASCALIENTES C.P 20290,449 9711436,Karla Rodriguez ,krodriguez@parkertrutec.com
JIDOHKA SMART S.A. DE C.V.,AV. MAHATMA GANDHI 814 COL SAN FRANCISCO DEL ARENAL AGUASCALIENTES C.P 20290,929-51-63 ext. 102,Alejandra Robles,compras@jidohkasmart.com.mx
VIANNEY TEXTIL HOGAR S.A DE C.V.,Salvador Quezada Limon 1512 Curtidores C.P 20040 Aguascalientes,449 9223050,"Ochoa Tellez, Jose Luis ",luis.ochoa@vianney.com.mx
Mahle Componentes de Motor de Mexico S. de R.L. de C.V.,KM. 0.3 carr. Maravillas- Jesus Maria 1176 Aguascalientes c.p 20900,(449) 9108244,Ana Mcias,ana.macias@mx.mahle.com
O-Tek Mexico S.A de C.V,Carretera Aguascalientes - Zacatecas km. 17.5 parque Industrial san francisco Aguascalientes,139-39-60,Carolina Lizbeth Ayala Mata ,carolina.ayala@o-tek.com.mx
Smeltek S.A de C.V,Av. Julio Diaz Torre 112 CD Industrial Aguascalientes C.P 20290,9710910,Fernando Camacho ,fernando.camacho@smeltek.mx
Texas Instruments de Mexico S de RL de CV,Jesus Rivera Franco 507 Cd. Industrial C.P20290 Aguascalientes,175 1474,"Rodriguez, Bety ",b-rodriguez2@ti.com
TK Minth Mexico S.A de C.V,Carretera los Arellanos 220 Parque Industrial Siglo XXI C.P 20283 Aguascalientes,929 5434,,
OSHITANI INDUSTRIAL MEXICANA S DE RL DE CV,Prolongacion M Juarez 1089-12 Linda Vista  Tijiana Baja california C.P 22054 ,9734605,Araceli Delacruz ,Araceli.Delacruz@oshitani.com.mx
Guadalupe del Rocio Lira Guerra,quirigua 603 Lomas de Jesus Maria Aguascalientes ,,,
ITW AUTOMOTIVE PRODUCTS MEXICO S DE RL CV.,AVENIDA ESTADOS UNIDOS 108 PARQUE INDUSTRIAL SAN FRANCISCO AGUASCALIENTES C.P 20300,449-2394270,"Nieto, Angel ",Anieto@itwautomx.com
S&C ELECTRIC MEXICANA S. DE R .L. DE C .V.,JESUS MARIA ROMO N. 143 CD. INDUSTRIAL AGUASCALIENTES C.P 20290,149-23-73,"Castorena, Carlos", Carlos.Castorena@sandc.com
CONEXIONES PLASTICAS DE AGUASCALIENTES SA DE CV,20 de Noviembre N. 1604 Morelos Aguascalientes C.P 20140,9120122,Norma Gloria,n.gloria@conplasa.com.mx
Operadora MPK S A P I de CV,Aguascalientes Sur 2729 Lote 12 Manzana jardines de las fuentes Aguascalientes ,9106620,Isabel Castorena ,icastorena@miraplastek.com.mx
Cymesa S.A. de C.V.,Lerma 2111 Colonia Mitras Centro Nuevo Leon Monterrey ,9711488,ANTONIO PLASCENCIA ,pagj670520@gmail.com
SANS MEXICANA S.A DE C.V.,Av. Mexico 204 Parque Industrial San Francisco Aguascalientes,449 9109350,,calidad@sansmex.com.mx
SANOH INDUSTRIAL DE MEXICO S.A DE C.V,Circuito Aguascalientes Oriente 130 P.I.V.A C.P 20126 Aguascalientes San Francisco de los romo,910-9660 Ext: 2233,Maria Eugenia Moreno Delgado ,eugenia.moreno@sanohmx.com
POLICH INDUSTRIES S.A DE .C.V,CIRCUITO IGNACIO AYALA 104 NORIAS DE PASO HONDO 2384 AGUASCALIENTES,9141260,Compras Polich Industries ,compras@polich.us
SAKAIYA DE MEXICO S.A DE C.V,Av.Muebleros 210 Chichimico C.P 20916 Jesus Maria Aguascalientes,9730010,Magdalena Mendez Lara,Metrologia.chichimeco@sakaiya.com.mx
OROTEX INDUSTRIAL DE AGUASCALIENTES S DE RL DE CV,JOSE BARBA ALONSO 215 CD INDUSTRIAL AGUASCALIENTES C.P 20290,971-0484,Claudia Ivonne V. ,cxp@orotexmx.com
Advanced Carrier Products Mexico SA de CV,Carr. Panamericana Km 8.5 108-B Parque Industrial  Altec C.P 20290 Aguascalientes,9295451,Eng. Miguel Angel Martinez,acp.calidad@acp-mex.com
"TEKLAS AUTOMOTIVE MEXICO, S.A de C.V.",MEZQUITE 106 PARQUE INDUSTRIAL SAN FRANCISCO  C.P 20355,52 1 449 494 2445,Brenda MASCORRO ,bmascorro@teklas.com.tr
Fabrica Nacional De Herramientas S.A De C.V.,Arturo Romo de Vivar 1 Parque Industrial  Chichimeco Jesus Maria Aguascalientes C.P 20900,5000050 ext 114,Ing. Oscar Alberto Macias Roman,calidad1@fandher.com.mx
Productos Doblados de Mexico S.A de C.V.,Av. Estados Unidos de America 114 Parque Industrial San Francisco de los Romo  C.P 20350,(449) 929-20-94,Alberto Cortes R., alberto.cortes@prodomex.com.mx
SERVICIOS TECNICOS PROFESIONALES MARISA SA DE CV.,PAPATZIN MANZA 26 LOTE 29 AJUSTO Ciudad de Mexico  C.P 4300 Coyoacan ,15553386385,,
HOWA MEXICO S.A DE C.V,Circuito Progreso 201 Parque industrial Logistica Automotriz C.P 20340 Aguascalientes,449 6880886,,
Ma. Guadalupe Montoya Rubalcava,Conjunto Villa Hidalgo,,,
